2.9599998,0.84000015,13
4.1000004,0.85000014,8
8.040001,0.8700001,3
3.2099998,0.86000013,5
2.45,0.9000001,6
2.56,0.9000001,6
3.1999998,0.8900001,5
5.5399995,0.8200002,2
13.56,0.72000015,4
3.15,0.8900001,5
12.099999,0.7900002,1
6.4,0.8100002,7
4.85,0.84000015,10
3.36,0.8700001,15
2.93,0.87000006,13
3.0299997,0.83000016,13
2.12,0.9000001,9
3.2799997,0.8900001,15
5.81,0.85000014,14
2.3999999,0.8900001,6
3.61,0.86000013,12
6.3399997,0.8900001,7
2.6799998,0.9000001,0
2.7499998,0.9000001,0
3.02,0.85000014,13
2.6599996,0.9000001,0
2.1399999,0.85000014,9
3.0699997,0.8900001,5
2.2499998,0.9000001,9
2.13,0.86000013,9
1.6699997,0.9000001,11
2.4899998,0.9000001,6
